dropout experiment with dropout=0.4
-Iter 0, Training Loss= 4.985899, Accuracy Top1 = 0.0000, Top5 = 0.0312
-Iter 0, Validation Loss= 5.014306, Accuracy Top1 = 0.0312, Top5 = 0.0781
-Iter 50, Training Loss= 6.803434, Accuracy Top1 = 0.0469, Top5 = 0.1094
-Iter 50, Validation Loss= 5.965199, Accuracy Top1 = 0.0312, Top5 = 0.0781
-Iter 100, Training Loss= 4.977971, Accuracy Top1 = 0.0625, Top5 = 0.1094
-Iter 100, Validation Loss= 4.648156, Accuracy Top1 = 0.0625, Top5 = 0.1406
-Iter 150, Training Loss= 5.415713, Accuracy Top1 = 0.0469, Top5 = 0.1406
-Iter 150, Validation Loss= 8.538208, Accuracy Top1 = 0.0469, Top5 = 0.1719
-Iter 200, Training Loss= 4.359428, Accuracy Top1 = 0.0156, Top5 = 0.1250
-Iter 200, Validation Loss= 4.325645, Accuracy Top1 = 0.0781, Top5 = 0.2188
-Iter 250, Training Loss= 4.196202, Accuracy Top1 = 0.0312, Top5 = 0.1875
-Iter 250, Validation Loss= 4.083362, Accuracy Top1 = 0.1094, Top5 = 0.2344
-Iter 300, Training Loss= 4.487849, Accuracy Top1 = 0.0938, Top5 = 0.2969
-Iter 300, Validation Loss= 4.017905, Accuracy Top1 = 0.1719, Top5 = 0.2656
-Iter 350, Training Loss= 4.159638, Accuracy Top1 = 0.0781, Top5 = 0.2500
-Iter 350, Validation Loss= 3.948189, Accuracy Top1 = 0.0625, Top5 = 0.2656
-Iter 400, Training Loss= 4.165524, Accuracy Top1 = 0.1250, Top5 = 0.2812
-Iter 400, Validation Loss= 6.815066, Accuracy Top1 = 0.0781, Top5 = 0.2812
-Iter 450, Training Loss= 3.863715, Accuracy Top1 = 0.1250, Top5 = 0.3438
-Iter 450, Validation Loss= 4.808375, Accuracy Top1 = 0.1094, Top5 = 0.1875
-Iter 500, Training Loss= 4.479796, Accuracy Top1 = 0.1250, Top5 = 0.3594
-Iter 500, Validation Loss= 4.180183, Accuracy Top1 = 0.0469, Top5 = 0.3125
-Iter 550, Training Loss= 4.795531, Accuracy Top1 = 0.0781, Top5 = 0.3125
-Iter 550, Validation Loss= 3.831285, Accuracy Top1 = 0.1406, Top5 = 0.2969
-Iter 600, Training Loss= 4.161882, Accuracy Top1 = 0.0938, Top5 = 0.2969
-Iter 600, Validation Loss= 4.469962, Accuracy Top1 = 0.0938, Top5 = 0.2500
-Iter 650, Training Loss= 4.063182, Accuracy Top1 = 0.1406, Top5 = 0.3750
-Iter 650, Validation Loss= 6.061634, Accuracy Top1 = 0.0938, Top5 = 0.3438
-Iter 700, Training Loss= 5.847137, Accuracy Top1 = 0.0625, Top5 = 0.2500
-Iter 700, Validation Loss= 3.974803, Accuracy Top1 = 0.1406, Top5 = 0.3438
-Iter 750, Training Loss= 3.796402, Accuracy Top1 = 0.0938, Top5 = 0.3594
-Iter 750, Validation Loss= 4.679907, Accuracy Top1 = 0.1719, Top5 = 0.3594
-Iter 800, Training Loss= 3.845465, Accuracy Top1 = 0.1094, Top5 = 0.3438
-Iter 800, Validation Loss= 4.124778, Accuracy Top1 = 0.0938, Top5 = 0.3750
-Iter 850, Training Loss= 5.156846, Accuracy Top1 = 0.1250, Top5 = 0.3594
-Iter 850, Validation Loss= 3.373067, Accuracy Top1 = 0.2344, Top5 = 0.4531
-Iter 900, Training Loss= 3.635912, Accuracy Top1 = 0.1094, Top5 = 0.4375
-Iter 900, Validation Loss= 4.355245, Accuracy Top1 = 0.1562, Top5 = 0.3594
-Iter 950, Training Loss= 4.051966, Accuracy Top1 = 0.0781, Top5 = 0.3906
-Iter 950, Validation Loss= 3.472738, Accuracy Top1 = 0.0781, Top5 = 0.4844
-Iter 1000, Training Loss= 3.749623, Accuracy Top1 = 0.1562, Top5 = 0.3906
-Iter 1000, Validation Loss= 3.640253, Accuracy Top1 = 0.1875, Top5 = 0.4375
-Iter 1050, Training Loss= 5.150077, Accuracy Top1 = 0.0938, Top5 = 0.2656
-Iter 1050, Validation Loss= 3.760117, Accuracy Top1 = 0.0781, Top5 = 0.2656
-Iter 1100, Training Loss= 3.651128, Accuracy Top1 = 0.1250, Top5 = 0.4219
-Iter 1100, Validation Loss= 4.164759, Accuracy Top1 = 0.0781, Top5 = 0.3125
-Iter 1150, Training Loss= 3.655050, Accuracy Top1 = 0.1406, Top5 = 0.3438
-Iter 1150, Validation Loss= 4.577929, Accuracy Top1 = 0.0781, Top5 = 0.3281
-Iter 1200, Training Loss= 4.200390, Accuracy Top1 = 0.1406, Top5 = 0.3594
-Iter 1200, Validation Loss= 4.090689, Accuracy Top1 = 0.0781, Top5 = 0.3281
-Iter 1250, Training Loss= 3.262584, Accuracy Top1 = 0.2031, Top5 = 0.5156
-Iter 1250, Validation Loss= 3.439244, Accuracy Top1 = 0.1562, Top5 = 0.4688
-Iter 1300, Training Loss= 3.637768, Accuracy Top1 = 0.0938, Top5 = 0.3594
-Iter 1300, Validation Loss= 3.682050, Accuracy Top1 = 0.1875, Top5 = 0.4531
-Iter 1350, Training Loss= 3.835544, Accuracy Top1 = 0.1094, Top5 = 0.3125
-Iter 1350, Validation Loss= 3.550842, Accuracy Top1 = 0.2031, Top5 = 0.3750
-Iter 1400, Training Loss= 3.723583, Accuracy Top1 = 0.1250, Top5 = 0.4375
-Iter 1400, Validation Loss= 3.691637, Accuracy Top1 = 0.1875, Top5 = 0.3594
-Iter 1450, Training Loss= 3.137250, Accuracy Top1 = 0.2031, Top5 = 0.5469
-Iter 1450, Validation Loss= 3.504871, Accuracy Top1 = 0.1406, Top5 = 0.3906
-Iter 1500, Training Loss= 3.915638, Accuracy Top1 = 0.1875, Top5 = 0.3438
-Iter 1500, Validation Loss= 4.644796, Accuracy Top1 = 0.1250, Top5 = 0.3750
-Iter 1550, Training Loss= 3.560524, Accuracy Top1 = 0.1094, Top5 = 0.4531
-Iter 1550, Validation Loss= 3.561672, Accuracy Top1 = 0.1719, Top5 = 0.2969
-Iter 1600, Training Loss= 3.672098, Accuracy Top1 = 0.1250, Top5 = 0.3594
-Iter 1600, Validation Loss= 3.738598, Accuracy Top1 = 0.1250, Top5 = 0.3281
-Iter 1650, Training Loss= 3.563035, Accuracy Top1 = 0.1406, Top5 = 0.3906
-Iter 1650, Validation Loss= 4.280996, Accuracy Top1 = 0.1719, Top5 = 0.4062
-Iter 1700, Training Loss= 3.186569, Accuracy Top1 = 0.2031, Top5 = 0.4844
-Iter 1700, Validation Loss= 3.190911, Accuracy Top1 = 0.2188, Top5 = 0.5938
