dropout experiment with dropout=0.3
-Iter 0, Training Loss= 4.796388, Accuracy Top1 = 0.0156, Top5 = 0.0625
-Iter 0, Validation Loss= 4.877417, Accuracy Top1 = 0.0312, Top5 = 0.0625
-Iter 50, Training Loss= 9.042424, Accuracy Top1 = 0.0312, Top5 = 0.1250
-Iter 50, Validation Loss= 7.951410, Accuracy Top1 = 0.0156, Top5 = 0.0938
-Iter 100, Training Loss= 6.685022, Accuracy Top1 = 0.0156, Top5 = 0.1250
-Iter 100, Validation Loss= 7.395541, Accuracy Top1 = 0.0312, Top5 = 0.1250
-Iter 150, Training Loss= 4.617594, Accuracy Top1 = 0.0469, Top5 = 0.1875
-Iter 150, Validation Loss= 4.264728, Accuracy Top1 = 0.0469, Top5 = 0.2500
-Iter 200, Training Loss= 4.720395, Accuracy Top1 = 0.0312, Top5 = 0.1250
-Iter 200, Validation Loss= 4.403271, Accuracy Top1 = 0.0312, Top5 = 0.1562
-Iter 250, Training Loss= 4.308517, Accuracy Top1 = 0.0469, Top5 = 0.1406
-Iter 250, Validation Loss= 5.265406, Accuracy Top1 = 0.0781, Top5 = 0.2969
-Iter 300, Training Loss= 8.421810, Accuracy Top1 = 0.0781, Top5 = 0.1875
-Iter 300, Validation Loss= 4.567944, Accuracy Top1 = 0.0625, Top5 = 0.2031
-Iter 350, Training Loss= 4.087846, Accuracy Top1 = 0.0312, Top5 = 0.3125
-Iter 350, Validation Loss= 4.027975, Accuracy Top1 = 0.0625, Top5 = 0.2969
-Iter 400, Training Loss= 4.593876, Accuracy Top1 = 0.0781, Top5 = 0.2656
-Iter 400, Validation Loss= 4.991091, Accuracy Top1 = 0.1094, Top5 = 0.2812
-Iter 450, Training Loss= 4.805308, Accuracy Top1 = 0.1406, Top5 = 0.2969
-Iter 450, Validation Loss= 4.139481, Accuracy Top1 = 0.0312, Top5 = 0.1875
-Iter 500, Training Loss= 3.877809, Accuracy Top1 = 0.1406, Top5 = 0.3125
