dropout experiment with dropout=0.6
-Iter 0, Training Loss= 4.884270, Accuracy Top1 = 0.0156, Top5 = 0.0469
-Iter 0, Validation Loss= 4.986734, Accuracy Top1 = 0.0000, Top5 = 0.0156
-Iter 50, Training Loss= 5.290979, Accuracy Top1 = 0.0469, Top5 = 0.1250
-Iter 50, Validation Loss= 5.283848, Accuracy Top1 = 0.0312, Top5 = 0.1250
-Iter 100, Training Loss= 5.133415, Accuracy Top1 = 0.0469, Top5 = 0.1719
-Iter 100, Validation Loss= 4.196679, Accuracy Top1 = 0.0938, Top5 = 0.1875
-Iter 150, Training Loss= 4.708615, Accuracy Top1 = 0.0781, Top5 = 0.1875
-Iter 150, Validation Loss= 6.098831, Accuracy Top1 = 0.1250, Top5 = 0.2031
-Iter 200, Training Loss= 4.345900, Accuracy Top1 = 0.0156, Top5 = 0.1562
-Iter 200, Validation Loss= 4.522333, Accuracy Top1 = 0.0625, Top5 = 0.2188
-Iter 250, Training Loss= 4.335455, Accuracy Top1 = 0.0625, Top5 = 0.1719
-Iter 250, Validation Loss= 3.939368, Accuracy Top1 = 0.0938, Top5 = 0.2812
-Iter 300, Training Loss= 4.322527, Accuracy Top1 = 0.0781, Top5 = 0.2812
-Iter 300, Validation Loss= 4.103676, Accuracy Top1 = 0.1094, Top5 = 0.2812
-Iter 350, Training Loss= 4.140013, Accuracy Top1 = 0.1094, Top5 = 0.2812
-Iter 350, Validation Loss= 3.930301, Accuracy Top1 = 0.0781, Top5 = 0.2656
-Iter 400, Training Loss= 4.084924, Accuracy Top1 = 0.0781, Top5 = 0.2812
-Iter 400, Validation Loss= 4.777057, Accuracy Top1 = 0.1406, Top5 = 0.2969
-Iter 450, Training Loss= 3.682145, Accuracy Top1 = 0.1562, Top5 = 0.4062
-Iter 450, Validation Loss= 4.692235, Accuracy Top1 = 0.0781, Top5 = 0.2188
-Iter 500, Training Loss= 4.490222, Accuracy Top1 = 0.1094, Top5 = 0.3438
-Iter 500, Validation Loss= 4.795983, Accuracy Top1 = 0.1250, Top5 = 0.2969
-Iter 550, Training Loss= 4.426836, Accuracy Top1 = 0.0625, Top5 = 0.2500
-Iter 550, Validation Loss= 3.884727, Accuracy Top1 = 0.1250, Top5 = 0.3438
-Iter 600, Training Loss= 6.517391, Accuracy Top1 = 0.1250, Top5 = 0.2812
-Iter 600, Validation Loss= 5.319982, Accuracy Top1 = 0.0938, Top5 = 0.1719
-Iter 650, Training Loss= 4.239580, Accuracy Top1 = 0.0938, Top5 = 0.2656
-Iter 650, Validation Loss= 5.394244, Accuracy Top1 = 0.0312, Top5 = 0.2500
-Iter 700, Training Loss= 3.977136, Accuracy Top1 = 0.1094, Top5 = 0.2969
-Iter 700, Validation Loss= 3.929191, Accuracy Top1 = 0.0938, Top5 = 0.2344
-Iter 750, Training Loss= 4.208446, Accuracy Top1 = 0.0938, Top5 = 0.2969
-Iter 750, Validation Loss= 3.930368, Accuracy Top1 = 0.1562, Top5 = 0.3750
-Iter 800, Training Loss= 4.688673, Accuracy Top1 = 0.1250, Top5 = 0.3438
-Iter 800, Validation Loss= 4.332625, Accuracy Top1 = 0.1562, Top5 = 0.3594
-Iter 850, Training Loss= 4.089579, Accuracy Top1 = 0.1094, Top5 = 0.3750
-Iter 850, Validation Loss= 3.359011, Accuracy Top1 = 0.2500, Top5 = 0.4688
-Iter 900, Training Loss= 4.593959, Accuracy Top1 = 0.0938, Top5 = 0.3125
